entrez	symbol	chromosome	tstart	tend
388960	C2orf78	chr2	73808805	73816989
388962	BOLA3	chr2	74135525	74147874
388963	C2orf81	chr2	74414332	74416244
389072	PLEKHM3	chr2	207828322	208001639
389114	ZNF662	chr3	42906352	42915351
389124	IQCF5	chr3	51873736	51874176
389152	PRR23C	chr3	139043835	139044620
389161	ANKUB1	chr3	149761487	149792366
389207	GRXCR1	chr4	42893267	43030537
389257	LRRC14B	chr5	191539	195350
389362	PSMG4	chr6	3255052	3267709
389813	AJM1	chr9	136844415	136847342
389827	MYMK	chr9	133514639	133524844
389856	USP27X	chrX	49880308	49881621
389903	CSAG3	chrX	152759371	152759909
390205	LRRC10B	chr11	61508999	61509874
390259	BSX	chr11	122977652	122981671
390594	KBTBD13	chr15	65076816	65078189
390748	PABPN1L	chr16	88863740	88866606
390790	ARL5C	chr17	39156897	39165760
390874	ONECUT3	chr19	1753663	1775442
390916	NUDT19	chr19	32691961	32711954
390999	PRAMEF12	chr1	12774868	12777596
391004	PRAMEF17	chr1	13389658	13392499
391475	DYTN	chr2	206651821	206710599
392617	ELFN1	chr7	1744597	1747080
392862	GRID2IP	chr7	6497777	6551436
399473	SPRED3	chr19	38390303	38396142
399665	FAM102A	chr9	127943195	127980137
399949	C11orf88	chr11	111514785	111536824
399968	PATE4	chr11	125833360	125838424
400410	ST20	chr15	79898934	79899125
400745	SH2D5	chr1	20721795	20728044
400793	C1orf226	chr1	162378914	162383680
401067	IQCF3	chr3	51829665	51830798
401089	FOXL2NB	chr3	138947365	138950569
401251	SAPCD1	chr6	31763055	31764528
401335	C7orf65	chr7	47655279	47659225
401399	PRRT4	chr7	128350859	128359991
401466	C8orf59	chr8	85214563	85217499
401474	SAMD12	chr8	118241206	118580894
401551	WDR38	chr9	124853532	124857627
402117	VWC2L	chr2	214414194	214575817
402665	IGLON5	chr19	51311848	51328756
403313	PLPP6	chr9	4662376	4663260
405754	ERVFRD-1	chr6	11104129	11105310
414149	ACBD7	chr10	15078533	15079046
431704	RGS21	chr1	192347308	192366121
440145	MZT1	chr13	72718952	72719098
440193	CCDC88C	chr14	91272628	91417690
440279	UNC13C	chr15	54012904	54627110
440498	HSBP1L1	chr18	79964736	79968183
440515	ZNF506	chr19	19794555	19795661
440533	PSG8	chr19	42754298	42765581
440563	HNRNPCL2	chr1	13115522	13116400
440804	RIMBP3B	chr22	21383859	21388775
440854	CAPN14	chr2	31176587	31205447
441027	TMEM150C	chr4	82485514	82562242
441054	C4orf47	chr4	185429412	185449641
441061	MARCH11	chr5	16067474	16179575
441151	TMEM151B	chr6	44273060	44276524
441155	LOC441155	chr6	65302522	65304936
441161	OOEP	chr6	73368787	73369792
441282	AKR1B15	chr7	134565481	134579546
441518	RTL8B	chrX	135022121	135022459
441864	TARM1	chr19	54070006	54075919
445577	C9orf129	chr9	93318401	93335953
445582	POTEE	chr2	131218403	131264680
448835	LCE6A	chr1	152843521	152843760
494551	WEE2	chr7	141708759	141729672
497189	TIFAB	chr5	135449457	135449939
552889	ATXN7L3B	chr12	74538113	74538403
613212	CTXN3	chr5	127657522	127657764
619373	MBOAT4	chr8	30131946	30144601
641339	ZNF674	chrX	46499846	46528912
641371	ACOT1	chr14	73537422	73543652
641649	TMEM91	chr19	41378310	41383901
641654	HEPN1	chr11	124919751	124920014
641700	ECSCR	chr5	139449075	139462670
642623	UBTFL1	chr11	90085950	90087128
642658	SCX	chr8	144266614	144267180
642938	FAM196A	chr10	127137840	127176395
642968	FAM163B	chr9	133579025	133580223
642987	TMEM232	chr5	110420583	110667352
643155	SMIM15	chr5	61159950	61160171
643226	GRXCR2	chr5	145859736	145931545
643376	BTBD18	chr11	57744137	57751188
643418	LIPN	chr10	88761406	88778239
643664	SLC35G6	chr17	7481988	7482998
643803	KRTAP24-1	chr21	30282171	30282932
643812	KRTAP27-1	chr21	30337048	30337668
643834	PGA3	chr11	61203565	61212699
643847	PGA4	chr11	61222401	61231528
643866	CBLN3	chr14	24427792	24429054
644090	LOC644090	chr7	151806896	151807644
644096	SDHAF1	chr19	35995275	35995619
644139	PIRT	chr17	10825235	10825645
644150	WIPF3	chr7	29871228	29904362
644186	SYCE3	chr22	50551248	50556405
644353	ZCCHC18	chrX	104114112	104115320
644591	PPIAL4G	chr1	148482761	148483252
644672	CLDN25	chr11	113779796	113780482
644809	C15orf56	chr15	40252288	40252888
644815	FAM83G	chr17	18971362	19004041
644890	MEIG1	chr10	14966469	14972638
644943	RASSF10	chr11	13009577	13011097
644974	ALG1L2	chr3	130091262	130098252
645051	GAGE13	chrX	49332738	49336374
645104	CLRN2	chr4	17515267	17527079
645121	CCNI2	chr5	132747496	132752967
645191	LINGO3	chr19	2290001	2291776
645369	TMEM200C	chr18	5890201	5892063
645414	PRAMEF19	chr1	13369070	13371900
645425	PRAMEF20	chr1	13416355	13421255
645432	ARRDC5	chr19	4867617	4902867
645811	CCDC154	chr16	1434411	1444013
645832	SEBOX	chr17	28364271	28364959
645840	TXNRD3NB	chr3	126572154	126572543
645922	S100A7L2	chr1	153437061	153438347
646450	ARIH2OS	chr3	48918280	48919149
646480	FABP9	chr8	81458386	81461523
646486	FABP12	chr8	81525049	81531315
646603	C4orf51	chr4	145680204	145732557
646625	URAD	chr13	27978109	27988637
646627	LYPD8	chr1	248739614	248751081
646643	SBK2	chr19	55529736	55536294
646658	SYNDIG1L	chr14	74407538	74409744
646799	ZAR1L	chr13	32303882	32311925
646962	HRCT1	chr9	35906288	35906632
647174	SERPINE3	chr13	51341092	51361994
648791	PPP1R3G	chr6	5085486	5086559
652968	CASTOR1	chr22	30285623	30289497
652991	SKOR2	chr18	47212092	47249183
653121	ZBTB8A	chr1	32592932	32600416
653140	FAM228A	chr2	24175481	24190628
653275	CFC1B	chr2	130521811	130527911
653319	KIAA0895L	chr16	67176814	67180610
653404	FOXD4L6	chr9	41127133	41128383
653427	FOXD4L5	chr9	65283130	65284377
653505	PPIAL4A	chr1	120889821	120890312
653509	SFTPA1	chr10	79611802	79614110
653567	TMEM236	chr10	17752296	17800560
653598	PPIAL4C	chr1	149583898	149584389
653619	PRAMEF15	chr1	13318408	13322261
653659	TMEM183B	chr3	149982181	149983308
653820	FAM72B	chr1	121168744	121185469
654231	OCM	chr7	5880890	5883998
654254	ZNF732	chr4	271102	272631
654346	LGALS9C	chr17	18476855	18494364
692094	MSMP	chr9	35753103	35754129
727830	SPATA31A3	chr9	66986457	66992521
727832	GOLGA6L6	chr15	20534262	20541709
727936	GXYLT2	chr3	72888234	72975156
727940	RHOXF2B	chrX	120072519	120077552
728215	FAM155A	chr13	107170500	107866596
728299	KRTAP19-8	chr21	31038255	31038443
728464	METTL24	chr6	110245949	110358272
728489	DNLZ	chr9	136362015	136363714
728621	CCDC30	chr1	42536485	42654025
728661	SLC35E2B	chr1	1665750	1676699
728689	EIF3CL	chr16	28379801	28403618
728819	C1GALT1C1L	chr2	43675378	43676322
728858	C12orf71	chr12	27081177	27082483
728957	ZNF705D	chr8	12109900	12113155
729020	RPEL1	chr10	103245997	103246680
729085	FAM198A	chr3	43032267	43056383
729092	AGAP5	chr10	73674602	73697755
729220	FLJ45513	chr17	49846931	49847284
729230	CCR2	chr3	46357528	46359857
729288	ZNF286B	chr17	18661940	18663286
729330	OC90	chr8	132024484	132055026
729438	CASTOR2	chr7	74964986	75024696
729442	GAGE12H	chrX	49581104	49584723
729475	RAD51AP2	chr2	17510807	17518415
729533	FAM72A	chr1	206187282	206203995
729627	PRR23A	chr3	139005471	139006268
729830	FAM160A1	chr4	151566260	151662751
729920	ISPD	chr7	16091698	16421322
730051	ZNF814	chr19	57872825	57877051
730112	FAM166B	chr9	35561871	35563828
730130	TMEM229A	chr7	124031864	124033003
752014	CEMP1	chr16	2530333	2531073
767558	LUZP6	chr7	135927277	135927447
768206	PRCD	chr17	76540142	76540574
768211	RELL1	chr4	37631391	37686287
768239	PSAPL1	chr4	7433317	7434879
780776	TVP23A	chr16	10770275	10818185
790955	UQCC3	chr11	62671746	62672111
100049587	SIGLEC14	chr19	51643358	51646641
100101267	POM121C	chr7	75418799	75441496
100101467	ZSCAN30	chr18	35253453	35264352
100113407	TMEM170B	chr6	11538278	11575558
100125288	ZGLP1	chr19	10305094	10308681
100128124	HGC6.3	chr6	167976140	167976652
100128327	TRAPPC3L	chr6	116496957	116543400
100128569	C19orf71	chr19	3539178	3544007
100128731	OST4	chr2	27071352	27071462
100128927	ZBTB42	chr14	104801198	104802463
100129128	KHDC1L	chr6	73223751	73225408
100129792	CCDC152	chr5	42759122	42799778
100130302	SUPT20HL1	chrX	24362683	24365421
100130613	PRR32	chrX	126820660	126821532
100130742	LRRC69	chr8	91102662	91218997
100130958	SYCE1L	chr16	77199452	77212928
100131137	BSPH1	chr19	47976715	47992081
100131187	TSTD1	chr1	161037778	161038674
100131211	NEMP2	chr2	190509192	190607082
100131439	CD300LD	chr17	74580005	74588853
100131897	FAM196B	chr5	169864276	169883898
100131902	KRTAP25-1	chr21	30289185	30289490
100134934	TEN1	chr17	75986193	76000259
100144748	KLLN	chr10	87861954	87862487
100169851	PATE3	chr11	125789373	125790599
100170841	EPOP	chr17	38673359	38674495
100188893	TOMM6	chr6	41787698	41789325
100190949	C5orf52	chr5	157671393	157679996
100191040	C2CD4D	chr1	151837931	151838989
100310846	ANKRD61	chr7	6031376	6036383
100505502	LOC100505502	chr10	31362802	31364049
100996485	C5orf66	chr5	135334119	135343463
101059915	LOC101059915	chrX	71667804	71670656
101927401	LOC101927401	chr1	228361448	228369150
102724378	LOC102724378	chr22	37739548	37745930
105375131	LOC105375131	chr7	4128500	4134820
105375787	LOC105375787	chr8	141254625	141256710
105378803	LRRC53	chr1	74469881	74536852
107984590	LOC107984590	chr13	113011342	113013090
107984820	LOC107984820	chr16	66484547	66485149
107985773	LOC107985773	chr2	109344232	109344918
107986192	LOC107986192	chr4	119627578	119628177
51	ACOX1	chr17	75946751	75979073
71	ACTG1	chr17	81510693	81512354
72	ACTG2	chr2	73901312	73919572
119	ADD2	chr2	70663428	70706444
161	AP2A2	chr11	926022	1010622
208	AKT2	chr19	40233875	40265267
214	ALCAM	chr3	105367409	105571936
241	ALOX5AP	chr13	30713726	30764103
271	AMPD2	chr1	109621014	109631149
290	ANPEP	chr15	89785352	89806583
291	SLC25A4	chr4	185143373	185146968
292	SLC25A5	chrX	119468516	119471055
307	ANXA4	chr2	69788048	69825512
308	ANXA5	chr4	121668471	121686372
309	ANXA6	chr5	151101451	151140246
310	ANXA7	chr10	73376098	73400856
313	AOAH	chr7	36513035	36724148
314	AOC2	chr17	42844627	42850345
317	APAF1	chr12	98648360	98732563
318	NUDT2	chr9	34339040	34343437
320	APBA1	chr9	69431330	69517210
328	APEX1	chr14	20455646	20457505
329	BIRC2	chr11	102349855	102378180
330	BIRC3	chr11	102324510	102337099
331	XIAP	chrX	123885663	123907178
364	AQP7	chr9	33385008	33395218
384	ARG2	chr14	67619978	67650917
390	RND3	chr2	150469990	150487417
393	ARHGAP4	chrX	153907732	153926202
396	ARHGDIA	chr17	81868368	81869930
397	ARHGDIB	chr12	14942525	14950712
398	ARHGDIG	chr16	280681	282811
400	ARL1	chr12	101396392	101405982
402	ARL2	chr11	65014208	65021852
405	ARNT	chr1	150812024	150858461
432	ASGR1	chr17	7173662	7178563
440	ASNS	chr7	97852262	97869156
463	ZFHX3	chr16	72787167	73047821
478	ATP1A3	chr19	41967247	41993431
479	ATP12A	chr13	24681559	24711411
501	ALDH7A1	chr5	126544968	126595198
527	ATP6V0C	chr16	2514104	2519742
534	ATP6V1G2	chr6	31545411	31546207
537	ATP6AP1	chrX	154428693	154435888
563	AZGP1	chr7	99967006	99972007
571	BACH1	chr21	29321281	29342830
572	BAD	chr11	64270212	64284368
573	BAG1	chr9	33255222	33264671
579	NKX3-2	chr4	13541996	13544414
585	BBS4	chr15	72686517	72737584
587	BCAT2	chr19	48796428	48807077
598	BCL2L1	chr20	31665952	31722218
608	TNFRSF17	chr16	11965325	11967844
610	HCN2	chr19	589946	616471
631	BFSP1	chr20	17494077	17558735
638	BIK	chr22	43124023	43128628
649	BMP1	chr8	22165406	22211725
650	BMP2	chr20	6770127	6779086
651	BMP3	chr4	81031285	81053533
652	BMP4	chr14	53950035	53953402
658	BMPR1B	chr4	95051700	95154670
659	BMPR2	chr2	202377475	202559943
662	BNIP1	chr5	173144546	173163918
676	BRDT	chr1	91962755	92014271
677	ZFP36L1	chr14	68789536	68796149
687	KLF9	chr9	70387779	70413363
701	BUB1B	chr15	40165051	40220756
708	C1QBP	chr17	5433018	5439073
744	MPPED2	chr11	30411471	30580373
768	CA9	chr9	35673960	35681022
770	CA11	chr19	48638889	48645632
771	CA12	chr15	63326288	63381720
778	CACNA1F	chrX	49205140	49233309
799	CALCR	chr7	93426359	93487008
817	CAMK2D	chr4	113455758	113761068
822	CAPG	chr2	85394896	85401959
823	CAPN1	chr11	65182702	65210872
824	CAPN2	chr1	223712641	223772239
834	CASP1	chr11	105026261	105035190
835	CASP2	chr7	143288456	143305068
837	CASP4	chr11	104944756	104955002
839	CASP6	chr4	109689333	109698343
840	CASP7	chr10	113679755	113729537
843	CASP10	chr2	201185778	201229080
844	CASQ1	chr1	160190752	160201373
845	CASQ2	chr1	115701244	115768541
857	CAV1	chr7	116526525	116559284
858	CAV2	chr7	116499782	116506156
859	CAV3	chr3	8733877	8745864
862	RUNX1T1	chr8	91960245	92095467
871	SERPINH1	chr11	75566350	75572080
874	CBR3	chr21	36135193	36146509
890	CCNA2	chr4	121817641	121823628
898	CCNE1	chr19	29812687	29823774
904	CCNT1	chr12	48693036	48716675
905	CCNT2	chr2	134918855	134954645
923	CD6	chr11	60971866	61019315
925	CD8A	chr2	86785923	86790825
933	CD22	chr19	35332546	35346694
942	CD86	chr3	122091602	122119531
943	TNFRSF8	chr1	12063599	12142528
944	TNFSF8	chr9	114894082	114930303
950	SCARB2	chr4	76163225	76213543
954	ENTPD2	chr9	137048660	137053997
956	ENTPD3	chr3	40392022	40427505
957	ENTPD5	chr14	73966931	73988102
962	CD48	chr1	160679055	160711763
967	CD63	chr12	55725564	55728341
970	CD70	chr19	6586023	6591002
983	CDK1	chr10	60780166	60793972
988	CDC5L	chr6	44387824	44446708
991	CDC20	chr1	43359216	43363126
1002	CDH4	chr20	61252514	61936940
1012	CDH13	chr16	82627058	83783474
1014	CDH16	chr16	66908395	66917731
1016	CDH18	chr5	19473229	19838986
1018	CDK3	chr17	76001426	76005420
1020	CDK5	chr7	151054012	151057848
1021	CDK6	chr7	92615143	92833323
1024	CDK8	chr13	26254642	26404078
1025	CDK9	chr9	127786149	127789540
1031	CDKN2C	chr1	50970369	50974267
1040	CDS1	chr4	84583402	84648683
1041	CDSN	chr6	31116028	31120419
1054	CEBPG	chr19	33379240	33379689
1073	CFL2	chr14	34712868	34713561
1118	CHIT1	chr1	203216892	203225871
1181	CLCN2	chr3	184346609	184361479
1182	CLCN3	chr4	169635929	169720062
1183	CLCN4	chrX	10185033	10233581
1185	CLCN6	chr1	11806263	11840220
1195	CLK1	chr2	200853309	200864226
1208	CLPS	chr6	35795149	35797288
1268	CNR1	chr6	88143859	88145274
1272	CNTN1	chr12	40908433	41070032
1284	COL4A2	chr13	110307904	110512188
1302	COL11A2	chr6	33163681	33192240
1316	KLF6	chr10	3779542	3785014
1326	MAP3K8	chr10	30438939	30460833
1353	COX11	chr17	54961268	54968646
1362	CPD	chr17	30378981	30464811
1366	CLDN7	chr17	7260377	7262043
1382	CRABP2	chr1	156700029	156705446
1386	ATF2	chr2	175074612	175130209
1434	CSE1L	chr20	49058464	49096435
1465	CSRP1	chr1	201484716	201496303
1482	NKX2-5	chr5	173232572	173235083
1491	CTH	chr1	70411416	70438826
1496	CTNNA2	chr2	79651551	80647869
1514	CTSL	chr9	87727604	87731104
1515	CTSV	chr9	97032952	97038043
1520	CTSS	chr1	150733049	150764763
1524	CX3CR1	chr3	39265445	39281695
1525	CXADR	chr21	17547026	17593230
1528	CYB5A	chr18	74253587	74291875
1576	CYP3A4	chr7	99758136	99784081
1601	DAB2	chr5	39375022	39394320
1605	DAG1	chr3	49510535	49533196
1618	DAZL	chr3	16588663	16604502
1632	ECI1	chr16	2239982	2251566
1647	GADD45A	chr1	67685495	67687771
1649	DDIT3	chr12	57516812	57517475
1656	DDX6	chr11	118754715	118786251
1678	TIMM8A	chrX	101346502	101348664
1717	DHCR7	chr11	71435378	71444952
1725	DHPS	chr19	12675841	12681766
1743	DLST	chr14	74881954	74902327
1769	DNAH8	chr6	38722810	39030389
1776	DNASE1L3	chr3	58192690	58210906
1789	DNMT3B	chr20	32780318	32807900
1796	DOK1	chr2	74554755	74557111
1808	DPYSL2	chr8	26514326	26655703
1821	DRP2	chrX	101231648	101260618
1841	DTYMK	chr2	241676130	241686783
1871	E2F3	chr6	20402233	20490427
1893	ECM1	chr1	150508210	150513464
1894	ECT2	chr3	172754531	172820234
1906	EDN1	chr6	12290630	12296064
1909	EDNRA	chr4	147485682	147542615
1939	EIF2D	chr1	206591778	206612342
1962	EHHADH	chr3	185192229	185254022
1973	EIF4A1	chr17	7574258	7578483
1981	EIF4G1	chr3	184315797	184334905
1997	ELF1	chr13	40933428	40982054
2001	ELF5	chr11	34480221	34505755
2017	CTTN	chr11	70407298	70436405
2018	EMX2	chr10	117543268	117548229
2023	ENO1	chr1	8861363	8874908
2053	EPHX2	chr8	27491209	27544519
2067	ERCC1	chr19	45409678	45423374
2107	ETF1	chr5	138508308	138542918
2114	ETS2	chr21	38805347	38822886
2117	ETV3	chr1	157124844	157136352
2151	F2RL2	chr5	76617585	76623230
2152	F3	chr1	94530463	94541636
2208	FCER2	chr19	7689196	7698867
2232	FDXR	chr17	74862820	74872944
2244	FGB	chr4	154563019	154570647
2253	FGF8	chr10	101770332	101775216
2275	FHL3	chr1	37997408	37999412
2289	FKBP5	chr6	35575838	35642824
2305	FOXM1	chr12	2858641	2874478
2313	FLI1	chr11	128758115	128810985
2317	FLNB	chr3	58008565	58170759
2321	FLT1	chr13	28303170	28494843
2332	FMR1	chrX	147912180	147948841
2334	AFF2	chrX	148501098	148991329
2357	FPR1	chr19	51745945	51746994
2521	FUS	chr16	31182511	31191435
2533	FYB1	chr5	39118875	39202987
2542	SLC37A4	chr11	119024913	119029369
2551	GABPA	chr21	25741599	25769229
2569	GABRR1	chr6	89178773	89217322
2597	GAPDH	chr12	6536495	6538167
2624	GATA2	chr3	128481022	128487031
2631	NIPSNAP2	chr7	55964610	55999069
2674	GFRA1	chr10	116064401	116271116
2675	GFRA2	chr8	21693281	21788159
2691	GHRH	chr20	37254209	37256889
2719	GPC3	chrX	133536127	133985449
2729	GCLC	chr6	53498759	53544645
2734	GLG1	chr16	74452059	74607094
2735	GLI1	chr12	57463692	57472058
2744	GLS	chr2	190881085	190963023
2762	GMDS	chr6	1624172	2245422
2770	GNAI1	chr7	80135161	80217490
2771	GNAI2	chr3	50227124	50257687
2793	GNGT2	chr17	49206760	49207422
2802	GOLGA3	chr12	132773108	132822128
2804	GOLGB1	chr3	121664483	121730971
2819	GPD1	chr12	50104051	50109516
2823	GPM6A	chr4	175634908	176002590
2845	GPR22	chr7	107474061	107475359
2856	GPR33	chr14	31482967	31483965
2859	GPR35	chr2	240629950	240630879
2898	GRIK2	chr6	101399278	102068508
2932	GSK3B	chr3	119826791	120093434
2961	GTF2E2	chr8	30578924	30653598
2969	GTF2I	chr7	74689129	74758835
2972	BRF1	chr14	105211123	105300629
2992	GYG1	chr3	148994141	149026988
2995	GYPC	chr2	126656264	126696139
2997	GYS1	chr19	48969291	48993112
3004	GZMM	chr19	544072	549788
3026	HABP2	chr10	113553122	113588366
3033	HADH	chr4	107989933	108034354
3034	HAL	chr12	95974235	95995910
3035	HARS	chr5	140674260	140691304
3038	HAS3	chr16	69109396	69118459
3055	HCK	chr20	32052428	32101516
3071	NCKAP1L	chr12	54497790	54542682
3091	HIF1A	chr14	61695805	61747082
3092	HIP1	chr7	75538175	75738920
3107	HLA-C	chr6	31269339	31272071
3110	MNX1	chr7	157005523	157010350
3113	HLA-DPA1	chr6	33068653	33073570
3119	HLA-DQB1	chr6	32661345	32666607
3140	MR1	chr1	181034008	181053676
3158	HMGCS2	chr1	119750805	119768844
3234	HOXD8	chr2	176130367	176131609
3241	HPCAL1	chr2	10419758	10426818
3242	HPD	chr12	121839731	121857819
3275	PRMT2	chr21	46643532	46664371
3276	PRMT1	chr19	49679872	49688242
3290	HSD11B1	chr1	209704943	209734518
3416	IDE	chr10	92454447	92574019
3420	IDH3B	chr20	2658445	2664005
3483	IGFALS	chr16	1790603	1792516
3490	IGFBP7	chr4	57032418	57110351
3547	IGSF1	chrX	131273799	131286674
3556	IL1RAP	chr3	190564290	190656604
3572	IL6ST	chr5	55941085	55976278
3579	CXCR2	chr2	218134802	218135881
3595	IL12RB2	chr1	67320369	67396086
3603	IL16	chr15	81182857	81308795
3606	IL18	chr11	112143599	112155053
3608	ILF2	chr1	153662399	153670232
3621	ING1	chr13	110714150	110719929
3640	INSL3	chr19	17816857	17821506
3652	IPP	chr1	45694421	45746411
3661	IRF3	chr19	49659592	49664838
3662	IRF4	chr6	393153	407595
3664	IRF6	chr1	209788423	209801413
3692	EIF6	chr20	35279568	35284487
3697	ITIH1	chr3	52777616	52791908
3700	ITIH4	chr3	52813424	52830642
3737	KCNA2	chr1	110602030	110604782
3747	KCNC2	chr12	75041100	75207983
3760	KCNJ3	chr2	154698776	154855310
3773	KCNJ16	chr17	70131995	70133341
3782	KCNN3	chr1	154707979	154869964
3786	KCNQ3	chr8	132129265	132480532
3856	KRT8	chr12	52897431	52905026
3925	STMN1	chr1	25885726	25903814
3976	LIF	chr22	30243654	30244934
3982	LIM2	chr19	51380204	51387443
3984	LIMK1	chr7	74083991	74121298
4000	LMNA	chr1	156114919	156139836
4001	LMNB1	chr5	126777509	126836261
4009	LMX1A	chr1	165203883	165355559
4010	LMX1B	chr9	126614450	126696448
4015	LOX	chr5	122070052	122077985
4025	LPO	chr17	58242980	58267991
4033	LRMP	chr12	25079244	25108057
4057	LTF	chr3	46437941	46464867
4074	M6PR	chr12	8941821	8946404
4081	MAB21L1	chr13	35475062	35476138
4084	MXD1	chr2	69915331	69938281
4092	SMAD7	chr18	48921375	48950424
4099	MAG	chr19	35295409	35313451
4107	MAGEA8	chrX	149884273	149885226
4111	MAGEA12	chrX	152736162	152737103
4117	MAK	chr6	10764455	10838546
4152	MBD1	chr18	50267591	50279992
4170	MCL1	chr1	150577367	150579530
4172	MCM3	chr6	52264591	52284817
4190	MDH1	chr2	63589328	63607041
4193	MDM2	chr12	68809206	68839846
4200	ME2	chr18	50895821	50947181
4212	MEIS2	chr15	36892176	37098199
4232	MEST	chr7	130495366	130505053
4239	MFAP4	chr17	19384465	19387118
4242	MFNG	chr22	37469966	37486177
4253	MIA2	chr14	39234115	39386949
4257	MGST1	chr12	16354253	16367547
4258	MGST2	chr4	139666020	139704145
4288	MKI67	chr10	128099193	128125667
4289	MKLN1	chr7	131327900	131487725
4299	AFF1	chr4	86948534	87135698
4303	FOXO4	chrX	71096529	71101739
4308	TRPM1	chr15	31001825	31160959
4312	MMP1	chr11	102790415	102798092
4331	MNAT1	chr14	60734863	60968346
4354	MPP1	chrX	154779180	154805373
4615	MYD88	chr3	38138662	38141283
4640	MYO1A	chr12	57028758	57048323
4690	NCK1	chr3	136928002	136948450
4695	NDUFA2	chr5	140645590	140647583
4703	NEB	chr2	151485763	151729656
4709	NDUFB3	chr2	201078883	201085612
4710	NDUFB4	chr3	120596360	120602267
4711	NDUFB5	chr3	179604816	179624037
4712	NDUFB6	chr9	32553879	32573060
4717	NDUFC1	chr4	139292553	139295798
4719	NDUFS1	chr2	206124188	206153681
4720	NDUFS2	chr1	161202386	161213938
4723	NDUFV1	chr11	67607005	67612455
4725	NDUFS5	chr1	39028725	39034493
4750	NEK1	chr4	169400226	169602630
4751	NEK2	chr1	211663429	211675479
4752	NEK3	chr13	52133145	52156191
4780	NFE2L2	chr2	177230788	177264576
4793	NFKBIB	chr19	38899520	38908829
4824	NKX3-1	chr8	23681224	23682889
4841	NONO	chrX	71290638	71300073
4848	CNOT2	chr12	70278227	70353912
4853	NOTCH2	chr1	119915309	120069406
4892	NRAP	chr10	113588978	113663882
4907	NT5E	chr6	85450140	85494001
4957	ODF2	chr9	128456092	128500252
4973	OLR1	chr12	10159883	10172077
4998	ORC1	chr1	52373184	52402223
5000	ORC4	chr2	147935513	147975958
5010	CLDN11	chr3	170419067	170432753
5013	OTX1	chr2	63052991	63056313
5025	P2RX4	chr12	121210165	121233092
5026	P2RX5	chr17	3679589	3696005
5050	PAFAH1B3	chr19	42297081	42302309
5052	PRDX1	chr1	45511332	45519043
5075	PAX1	chr20	21705713	21714800
5110	PCMT1	chr6	149749728	149802376
5126	PCSK2	chr20	17227306	17482067
5128	CDK17	chr12	96280245	96334836
5134	PDCD2	chr6	170577562	170584581
5150	PDE7A	chr8	65719293	65841508
5151	PDE8A	chr15	84982163	85137900
5164	PDK2	chr17	50095436	50110094
5169	ENPP3	chr6	131637385	131746953
5173	PDYN	chr20	1980326	1983084
5199	CFP	chrX	47624278	47629684
5205	ATP8B1	chr18	57648491	57731807
5212	VIT	chr2	36716371	36814358
5225	PGC	chr6	41736855	41747334
5228	PGF	chr14	74946212	74955242
5236	PGM1	chr1	63593489	63659672
5238	PGM3	chr6	83169237	83191268
5291	PIK3CB	chr3	138655392	138759343
5292	PIM1	chr6	37170306	37174088
5295	PIK3R1	chr5	68226676	68297598
5315	PKM	chr15	72199653	72230987
5338	PLD2	chr17	4807773	4822861
5346	PLIN1	chr15	89665586	89677489
5356	PLRG1	chr4	154536688	154548935
5357	PLS1	chr3	142664238	142712004
5360	PLTP	chr20	45898944	45911452
5365	PLXNB3	chrX	153765536	153779036
5414	SEPT4	chr17	58520429	58539210
5424	POLD1	chr19	50398852	50417944
5460	POU5F1	chr6	31164604	31170620
5462	POU5F1B	chr8	127415867	127416943
5467	PPARD	chr6	35411088	35426076
5519	PPP2R1B	chr11	111698809	111766361
5520	PPP2R2A	chr8	26293247	26370410
5522	PPP2R2C	chr4	6323305	6535319
5523	PPP2R3A	chr3	136001499	136145163
5525	PPP2R5A	chr1	212286111	212360767
5528	PPP2R5D	chr6	42989611	43011283
5533	PPP3CC	chr8	22441410	22540799
5545	PRB4	chr12	11308242	11310398
5553	PRG2	chr11	57387478	57389944
5567	PRKACB	chr1	84078326	84235302
5570	PKIB	chr6	122717786	122725192
5573	PRKAR1A	chr17	68515400	68551121
5575	PRKAR1B	chr7	550433	711505
5599	MAPK8	chr10	48401661	48435026
5607	MAP2K5	chr15	67543336	67806747
5631	PRPS1	chrX	107628629	107650029
5636	PRPSAP2	chr17	18856370	18930695
5650	KLK7	chr19	50977539	50983919
5669	PSG1	chr19	42868066	42879581
5676	PSG7	chr19	42925774	42937076
5686	PSMA5	chr1	109402016	109421928
5690	PSMB2	chr1	35603270	35641432
5701	PSMC2	chr7	103347712	103368051
5705	PSMC5	chr17	63828135	63831966
5711	PSMD5	chr9	120817909	120842909
5715	PSMD9	chr12	121888857	121915945
5753	PTK6	chr20	63529539	63537314
5754	PTK7	chr6	43076489	43160878
5788	PTPRC	chr1	198639269	198756178
5801	PTPRR	chr12	70639187	70920390
5803	PTPRZ1	chr7	121873500	122061217
5806	PTX3	chr3	157436934	157442976
5824	PEX19	chr1	160279554	160285124
5833	PCYT2	chr17	81904836	81911355
5836	PYGL	chr14	50905395	50944403
5837	PYGM	chr11	64746662	64759898
5862	RAB2A	chr8	60517208	60620766
5863	RGL2	chr6	33292105	33298610
5869	RAB5B	chr12	55986961	55992209
5870	RAB6A	chr11	73677901	73760635
