GENE	CGC	GENE_LEN	GENE_NUM_MUTS	MUTS_IN_CLUST	NUM_CLUSTERS	CLUST_COORDS	GENE_SCORE	ZSCORE	PVALUE	QVALUE
SERPINB11		393.0	30	14	3	[100,106]:6,[169,174]:4,[215,217]:4	0.31970200826678646	1.7069597928833924	0.04391476294419123	0.3043564641456391
S1PR1		383.0	47	20	6	[104,115]:7,[192,196]:3,[251,253]:3,[264,264]:3,[332,332]:2,[382,382]:2	0.31962025881826905	1.7063206367466177	0.04397419892960419	0.3044135211730824
UNC13C		2215.0	335	153	39	[1,8]:5,[27,27]:2,[182,182]:2,[189,189]:2,[226,252]:10,[287,293]:4,[299,301]:4,[370,372]:3,[527,527]:2,[533,540]:5,[546,551]:4,[576,578]:3,[580,584]:7,[704,714]:4,[807,817]:5,[834,843]:5,[853,854]:3,[909,911]:4,[946,946]:2,[1002,1005]:3,[1025,1035]:5,[1055,1057]:3,[1281,1281]:2,[1300,1322]:9,[1329,1329]:2,[1343,1343]:3,[1426,1426]:2,[1536,1540]:3,[1576,1581]:4,[1614,1618]:4,[1624,1629]:4,[1670,1685]:8,[1700,1706]:6,[2004,2004]:2,[2013,2023]:5,[2029,2029]:2,[2053,2061]:6,[2150,2150]:2,[2168,2168]:2	0.3196051933319539	1.7062028475968871	0.043985159376555616	0.3044135211730824
CORO2B		481.0	41	15	6	[56,58]:3,[116,123]:4,[151,151]:2,[171,171]:2,[343,343]:2,[469,469]:2	0.319599579098245	1.7061589528429355	0.04398924440890679	0.3044135211730824
GTF2H4		2778.0	22	9	3	[94,94]:2,[332,337]:4,[431,433]:3	0.319561742035265	1.705863124657672	0.04401678341690345	0.3044512591078846
HIST1H3G		137.0	21	7	2	[89,89]:2,[132,133]:5	0.31938636011610133	1.7044919052556369	0.044144613529231276	0.30482715793644793
PDSS2		400.0	21	7	3	[19,19]:2,[70,70]:2,[302,303]:3	0.31938636011610133	1.7044919052556369	0.044144613529231276	0.30482715793644793
AQP9		296.0	32	19	3	[96,97]:3,[116,127]:6,[130,143]:10	0.31935035051787275	1.7042103650604674	0.04417089673848153	0.30482715793644793
SOX3		447.0	38	15	5	[29,29]:2,[55,55]:2,[117,121]:4,[152,155]:3,[182,190]:4	0.3193137338798946	1.703924078739321	0.04419763595731504	0.30482715793644793
EPB41L3		1088.0	183	112	17	[190,191]:3,[198,199]:3,[229,254]:12,[425,425]:3,[454,457]:3,[475,482]:4,[525,549]:12,[571,579]:5,[587,594]:4,[615,620]:5,[627,632]:6,[636,647]:9,[648,664]:11,[672,697]:12,[817,826]:8,[837,842]:6,[845,849]:6	0.31930670296444064	1.7038691076925305	0.044202771760738876	0.30482715793644793
SIGLEC12		596.0	80	40	9	[17,21]:3,[89,101]:10,[126,135]:6,[196,200]:3,[295,302]:5,[306,312]:4,[417,422]:4,[446,446]:2,[463,467]:3	0.3192910534249316	1.7037467521366667	0.04421420485248739	0.30482715793644793
OR4D10		312.0	51	23	6	[116,116]:2,[140,145]:3,[155,160]:6,[167,171]:4,[175,185]:5,[306,309]:3	0.31927502033181615	1.70362139777597	0.04422592062915458	0.30482715793644793
DOK6		332.0	56	26	7	[37,39]:4,[46,48]:3,[57,57]:2,[171,171]:2,[177,201]:10,[264,265]:3,[296,296]:2	0.3191711859404248	1.7028095710337763	0.044301855572990705	0.305038957871224
ARPP21		814.0	130	62	14	[238,241]:3,[276,279]:4,[281,295]:14,[295,299]:5,[327,328]:4,[347,353]:4,[398,403]:3,[428,430]:3,[456,465]:6,[473,474]:3,[486,487]:3,[632,634]:3,[669,673]:4,[755,756]:3	0.31914158339588894	1.7025781242369185	0.044323523395569	0.305038957871224
INSC		580.0	64	30	8	[3,5]:3,[108,108]:2,[152,155]:3,[224,224]:2,[231,233]:4,[288,288]:2,[392,415]:11,[429,434]:3	0.3191175947302438	1.7023905694198747	0.044341088358129416	0.305038957871224
GABRE		507.0	66	30	8	[73,74]:3,[125,134]:5,[184,197]:6,[217,217]:2,[246,246]:2,[298,298]:4,[354,354]:2,[417,428]:6	0.3191120310783946	1.702347070139001	0.04434516297235639	0.305038957871224
CYSLTR1		338.0	35	17	5	[9,24]:7,[79,81]:3,[220,223]:3,[268,268]:2,[285,285]:2	0.3190451597335361	1.7018242381050752	0.04439416070159952	0.30510122605234097
TBX20		448.0	68	31	8	[29,38]:4,[95,100]:5,[161,161]:2,[188,193]:4,[285,287]:3,[319,321]:3,[405,415]:5,[433,439]:5	0.31903926642188674	1.701778161386823	0.044398480918461804	0.30510122605234097
OR2G2		318.0	101	70	10	[53,53]:2,[82,111]:12,[111,140]:15,[155,155]:2,[165,186]:14,[208,208]:2,[227,243]:9,[280,285]:5,[285,290]:3,[307,316]:6	0.3189878397420871	1.7013760831027003	0.044436194713149926	0.30520824320915385
SDK1		2214.0	280	147	32	[27,27]:2,[146,170]:13,[177,179]:3,[188,190]:3,[231,236]:5,[271,274]:5,[314,318]:5,[325,327]:4,[403,420]:7,[435,456]:10,[470,489]:8,[516,523]:4,[523,530]:4,[541,543]:4,[557,575]:9,[582,587]:4,[600,610]:5,[627,635]:4,[780,785]:4,[811,820]:4,[862,872]:6,[878,878]:2,[909,909]:2,[945,961]:8,[1092,1092]:2,[1146,1147]:3,[1188,1193]:5,[1217,1217]:2,[1302,1305]:3,[1331,1335]:3,[1441,1441]:2,[1510,1510]:2	0.3189232834717235	1.700871351424157	0.044483573637441966	0.3053815052749689
OR1D5		313.0	34	15	4	[122,123]:4,[213,224]:5,[253,253]:2,[283,290]:4	0.3188540835493753	1.7003303134620014	0.04453440580332836	0.3055782896958096
NALCN		1768.0	266	125	29	[9,9]:2,[43,44]:3,[57,62]:3,[120,136]:8,[146,146]:2,[161,163]:3,[214,223]:5,[262,277]:6,[295,311]:10,[348,353]:5,[371,375]:6,[420,420]:2,[640,640]:2,[665,665]:3,[712,716]:4,[814,816]:4,[827,831]:3,[912,913]:3,[941,944]:3,[984,988]:4,[1157,1164]:4,[1200,1207]:5,[1422,1431]:6,[1458,1469]:5,[1487,1500]:5,[1510,1516]:4,[1553,1559]:5,[1578,1578]:7,[1583,1586]:3	0.3187769453804968	1.699727210506417	0.04459112430812546	0.3058152480534873
PRR4		135.0	15	7	2	[26,26]:2,[37,42]:5	0.3186905549911868	1.6990517692834215	0.044654714886749124	0.3059428863115343
NCOA2	Dom	1465.0	86	33	12	[23,37]:6,[81,85]:3,[230,230]:3,[290,292]:3,[362,362]:2,[411,415]:4,[423,423]:2,[657,657]:2,[756,756]:2,[944,944]:2,[1100,1100]:2,[1221,1221]:2	0.3186566660266903	1.6987868092131126	0.04467967994639617	0.3059428863115343
ADH7		395.0	39	15	5	[48,50]:4,[117,117]:2,[141,143]:3,[146,150]:3,[269,274]:3	0.318636254940192	1.6986272256143211	0.04469472165052529	0.3059428863115343
KCNT2		1136.0	195	90	20	[5,7]:3,[63,63]:3,[97,101]:5,[143,144]:3,[222,225]:4,[312,329]:8,[343,343]:2,[351,361]:4,[455,455]:2,[471,475]:5,[480,481]:4,[505,531]:12,[559,563]:3,[625,629]:4,[701,701]:2,[757,757]:2,[884,892]:10,[967,973]:6,[981,990]:5,[995,999]:3	0.3186311139014464	1.6985870305240391	0.04469851091994415	0.3059428863115343
PPP1R42		229.0	17	7	2	[55,58]:3,[67,71]:4	0.3184847463279127	1.697442659099577	0.04480650162443972	0.30629104825289755
ISOC2		222.0	17	6	2	[101,102]:3,[130,131]:3	0.3184839485221327	1.6974364214738866	0.04480709082454362	0.30629104825289755
IL13RA2		381.0	40	15	5	[89,89]:2,[197,200]:3,[332,334]:3,[343,344]:4,[375,380]:3	0.31843679718034895	1.697067769819291	0.044841924385315014	0.30629104825289755
OR51A2		314.0	40	15	5	[103,105]:4,[144,144]:3,[157,162]:3,[244,247]:3,[279,279]:2	0.31843679718034895	1.697067769819291	0.044841924385315014	0.30629104825289755
RSPRY1		577.0	37	15	4	[78,82]:5,[125,125]:4,[390,395]:4,[562,562]:2	0.318388581222586	1.69669079448975	0.04487756698615492	0.30629104825289755
TNFAIP6		278.0	37	18	4	[112,119]:5,[130,130]:2,[156,156]:3,[180,194]:8	0.3183816500244636	1.6966366030805664	0.04488269259853849	0.30629104825289755
GPT2		524.0	39	17	5	[33,37]:4,[123,128]:4,[199,206]:4,[320,323]:3,[359,359]:2	0.3183147753792174	1.696113745242637	0.044932170529408136	0.306476977114246
TNFRSF13C		185.0	11	4	1	[109,111]:4	0.3181826900167218	1.69508103894861	0.0450300243166308	0.3068451787537088
FFAR2		331.0	22	7	3	[70,70]:2,[255,255]:2,[301,301]:3	0.3181818181818182	1.6950742225279614	0.04503067077393928	0.3068451787537088
ITIH1		912.0	72	40	9	[30,30]:2,[64,93]:15,[106,111]:4,[122,125]:4,[173,176]:3,[226,227]:3,[381,384]:4,[513,513]:2,[616,621]:3	0.31814548061537823	1.69479011812106	0.04505762137884623	0.3068771297961439
DENND1B		776.0	26	11	3	[38,41]:5,[53,61]:4,[171,171]:2	0.31799268723062585	1.6935955066430113	0.045171086243193444	0.3074979870925539
CPA4		422.0	49	23	6	[161,161]:2,[249,254]:5,[263,263]:2,[291,300]:6,[311,311]:2,[381,388]:6	0.31787572425594585	1.6926810343817555	0.04525809859344822	0.3079382473399228
VIP		171.0	34	17	4	[62,62]:2,[101,112]:5,[119,124]:3,[155,165]:7	0.3177397607899368	1.691618007226798	0.045359415417381456	0.30841587400922155
ROBO2	NA	1444.0	234	108	27	[17,32]:9,[42,42]:3,[46,48]:3,[106,106]:2,[132,136]:4,[164,164]:2,[224,232]:4,[236,245]:7,[319,319]:2,[382,388]:8,[425,425]:2,[446,450]:4,[473,481]:5,[571,579]:6,[614,614]:2,[633,640]:4,[660,660]:3,[721,723]:3,[758,764]:4,[806,818]:5,[1007,1014]:5,[1075,1082]:6,[1120,1125]:4,[1136,1138]:3,[1141,1144]:3,[1238,1238]:2,[1293,1295]:3	0.31772149222884305	1.6914751749123922	0.045373042618113986	0.30841587400922155
FAM9A		333.0	44	22	4	[22,27]:5,[137,141]:5,[205,206]:3,[252,268]:9	0.3174264467427523	1.6891683687322576	0.045593584424107915	0.3097622283323448
PGAP2		373.0	39	18	4	[10,12]:3,[52,55]:4,[60,70]:7,[122,124]:4	0.31732927403472827	1.6884086262044862	0.045666407859154386	0.31006039215768755
MB21D2	NA	492.0	52	17	2	[309,311]:15,[371,371]:2	0.3173078767343065	1.6882413319153744	0.04568245603716093	0.31006039215768755
ADGRL4		691.0	134	55	14	[8,17]:6,[32,38]:4,[71,71]:3,[112,120]:8,[124,128]:3,[128,132]:4,[261,261]:2,[391,394]:3,[438,443]:4,[446,450]:3,[466,466]:2,[598,603]:6,[627,629]:4,[665,668]:3	0.31724319019588204	1.6877355817390673	0.04573099912419283	0.3102371175821841
HNRNPC		307.0	22	9	3	[71,74]:3,[176,182]:4,[209,209]:2	0.31720819752400214	1.6874619923585907	0.045757276149908356	0.31026269145424823
POMGNT2		581.0	30	13	4	[70,79]:5,[260,265]:3,[394,396]:3,[407,407]:2	0.31717360746938844	1.6871915508317221	0.04578326276401594	0.3102862719773647
ADCY8		1252.0	232	108	25	[7,7]:2,[166,188]:9,[242,246]:5,[330,338]:6,[343,349]:8,[357,362]:4,[404,409]:5,[416,416]:3,[425,425]:2,[497,499]:4,[503,503]:2,[584,587]:3,[599,600]:3,[630,630]:2,[765,772]:4,[784,792]:7,[822,822]:2,[865,870]:3,[924,931]:5,[960,965]:5,[998,1009]:10,[1072,1088]:6,[1129,1129]:3,[1172,1176]:3,[1194,1194]:2	0.3171027587257697	1.6866376215993184	0.04583652662223858	0.3104946041707906
KHDC1L		129.0	9	4	1	[1,4]:4	0.31706368363912596	1.6863321139552143	0.045865924446569686	0.31054114366206437
TRIML2		463.0	108	60	11	[63,78]:8,[90,101]:7,[124,139]:7,[195,217]:9,[233,238]:5,[300,303]:4,[342,344]:3,[347,361]:8,[396,396]:2,[409,411]:4,[416,418]:3	0.3169585936339623	1.6855104702263306	0.045945063232757474	0.3109242497121069
PMPCA		526.0	30	14	3	[49,58]:6,[67,67]:2,[92,101]:6	0.31692094110861235	1.685216084844179	0.04597344442036278	0.3109636561995589
DPH1		444.0	24	10	3	[27,32]:5,[159,159]:2,[171,175]:3	0.316816347217166	1.6843983199687032	0.046052357636629744	0.3111961115719503
RFFL		364.0	24	9	3	[49,53]:3,[168,171]:3,[362,362]:3	0.31681554803517104	1.6843920715831087	0.046052961016088405	0.3111961115719503
MIDN		469.0	29	12	3	[122,122]:2,[276,282]:4,[412,417]:6	0.31674839648793496	1.6838670487934966	0.046103682875540085	0.31138621677575706
HOXD8		291.0	15	6	2	[192,196]:3,[285,287]:3	0.31666794536399007	1.6832380435767968	0.046164509430903174	0.3116443499045055
ZNF648		569.0	68	29	9	[44,64]:9,[97,99]:3,[141,141]:2,[159,159]:2,[227,227]:3,[274,274]:2,[381,384]:3,[458,458]:2,[477,477]:3	0.3166329465576132	1.6829644062339002	0.04619099103400949	0.3116704901633974
PTN		169.0	23	10	3	[41,44]:3,[86,88]:3,[125,130]:4	0.31653773543703223	1.6822200003313263	0.04626309360496472	0.31200427854424595
GRIN3A		1116.0	164	86	16	[152,165]:7,[167,171]:4,[273,279]:5,[333,346]:11,[349,354]:5,[359,369]:6,[405,405]:2,[436,437]:3,[446,465]:11,[527,560]:10,[591,596]:3,[596,603]:4,[653,658]:3,[680,680]:2,[689,696]:5,[761,766]:5	0.31643417410492447	1.6814103084967065	0.046341622302692016	0.31235583767848435
HMGB4		187.0	27	14	3	[62,73]:7,[115,118]:5,[138,138]:2	0.3164092470661938	1.6812154170318063	0.046360539999287555	0.31235583767848435
STXBP5L		1187.0	180	90	20	[80,95]:6,[103,103]:2,[124,131]:6,[216,219]:3,[251,264]:8,[285,288]:5,[290,299]:5,[320,320]:3,[334,343]:5,[397,402]:5,[449,449]:2,[455,462]:4,[576,596]:8,[621,621]:2,[675,686]:5,[695,698]:4,[723,725]:3,[781,791]:7,[851,855]:3,[1080,1082]:4	0.3163554849806304	1.6807950794327542	0.046401362374926675	0.3124104408556443
NDUFB6		129.0	8	4	1	[75,80]:4	0.3162935918239863	1.6803111692460697	0.04644839452479095	0.3124104408556443
SPA17		152.0	8	4	1	[72,80]:4	0.3162935918239863	1.6803111692460697	0.04644839452479095	0.3124104408556443
KALRN		2987.0	277	125	33	[7,12]:3,[25,26]:3,[161,166]:4,[178,187]:7,[219,226]:6,[240,240]:5,[246,255]:4,[298,298]:2,[309,313]:3,[362,364]:3,[375,381]:4,[392,393]:3,[488,488]:2,[539,545]:4,[602,607]:3,[631,635]:4,[666,672]:5,[799,823]:10,[879,879]:2,[945,949]:4,[980,985]:3,[1020,1021]:3,[1045,1046]:3,[1057,1070]:7,[1092,1093]:3,[1100,1109]:5,[1196,1196]:2,[1210,1213]:3,[1350,1356]:4,[1436,1444]:4,[1525,1525]:2,[1570,1570]:2,[1600,1600]:3	0.3162620836551981	1.680064823370902	0.046472352042465886	0.3124104408556443
CD163		1157.0	193	92	22	[115,118]:4,[230,230]:2,[313,318]:3,[381,388]:4,[415,417]:4,[486,490]:5,[543,543]:3,[557,565]:4,[579,586]:8,[627,646]:8,[651,661]:4,[692,696]:3,[720,720]:3,[727,731]:3,[736,738]:3,[765,777]:6,[792,795]:6,[873,877]:3,[896,898]:3,[1012,1012]:2,[1075,1087]:9,[1099,1099]:2	0.3162494516565037	1.6799660603867879	0.046481959680444426	0.3124104408556443
FAM81B		453.0	42	20	4	[123,125]:3,[142,156]:8,[289,293]:6,[368,368]:3	0.3160835259960209	1.6786687745204085	0.04660830738496188	0.31310697724254366
SH2D4B		358.0	23	9	2	[113,114]:5,[243,246]:4	0.3159913164186256	1.677947836112499	0.046678641420590875	0.31322957200567575
TCP11		517.0	31	12	4	[26,26]:2,[54,54]:2,[168,175]:5,[187,190]:3	0.3159845615016308	1.6778950229531575	0.04668379716594079	0.31322957200567575
CHRM2		467.0	122	70	11	[32,40]:6,[89,115]:10,[141,151]:6,[223,229]:7,[234,242]:6,[248,253]:5,[288,296]:5,[307,320]:11,[376,387]:6,[411,421]:5,[433,437]:3	0.3159702474273355	1.6777831087005965	0.04669472400955123	0.31322957200567575
MARCH11		403.0	48	28	6	[187,187]:2,[236,253]:8,[311,316]:6,[333,352]:7,[366,368]:3,[392,392]:2	0.3159393323319302	1.6775413997556974	0.046718330470577864	0.3132354988020019
GOLM1		402.0	19	6	2	[102,102]:2,[379,379]:4	0.3157894736842105	1.6763697334499803	0.0468328967816984	0.31325244393331697
GUCA1A		202.0	19	6	2	[120,120]:4,[172,172]:2	0.3157894736842105	1.6763697334499803	0.0468328967816984	0.31325244393331697
HAUS8		411.0	19	6	3	[7,7]:2,[173,173]:2,[308,308]:2	0.3157894736842105	1.6763697334499803	0.0468328967816984	0.31325244393331697
RNPEPL1		726.0	19	6	3	[376,376]:2,[403,403]:2,[710,710]:2	0.3157894736842105	1.6763697334499803	0.0468328967816984	0.31325244393331697
HTR3B		442.0	44	18	6	[18,24]:4,[54,54]:2,[102,110]:4,[224,224]:2,[264,264]:3,[331,334]:3	0.3157874066959416	1.6763535727509091	0.04683447855977993	0.31325244393331697
PARD3		1357.0	105	44	13	[48,51]:4,[373,374]:3,[452,455]:4,[485,485]:2,[835,835]:2,[956,962]:5,[969,980]:5,[1022,1022]:2,[1041,1041]:2,[1061,1073]:6,[1124,1127]:4,[1193,1193]:2,[1217,1222]:3	0.31566006210472863	1.6753579320654375	0.046932012627061516	0.3136007804376284
OR3A1		316.0	37	15	5	[7,10]:3,[88,98]:5,[120,121]:3,[232,232]:2,[286,286]:2	0.31566000381114534	1.6753574762984302	0.04693205731177565	0.3136007804376284
NEUROD6		338.0	55	27	6	[18,35]:6,[50,50]:2,[62,70]:6,[99,104]:5,[146,155]:6,[321,321]:2	0.31561873587703326	1.6750348239280703	0.046963699645373246	0.31366017423036346
EDIL3		481.0	64	23	6	[108,116]:6,[159,163]:3,[185,185]:3,[195,195]:2,[262,262]:3,[333,333]:6	0.3155403976522509	1.6744223383636814	0.04702381281574823	0.3139095688450796
GABRB1		475.0	77	40	9	[47,47]:2,[90,90]:3,[119,127]:4,[160,171]:8,[264,267]:3,[381,389]:5,[405,405]:2,[411,419]:8,[458,467]:5	0.3154716890965839	1.673885142140344	0.047076587391232536	0.314109756625431
ZNF365		463.0	67	31	7	[9,12]:4,[41,55]:8,[73,77]:5,[102,103]:3,[141,145]:4,[190,194]:5,[377,377]:2	0.31543851317497834	1.673625756979075	0.0471020865862972	0.3141103102491137
CYP2A13		495.0	69	30	9	[5,6]:3,[64,64]:2,[87,87]:2,[143,150]:4,[185,190]:3,[198,203]:3,[393,394]:4,[431,435]:3,[441,452]:6	0.3154077346386024	1.6733851157177282	0.047125753038601774	0.3141103102491137
HTN1		58.0	9	8	1	[11,27]:8	0.31538113835575105	1.673177173307007	0.04714621131972823	0.3141103102491137
FOXO1	Dom	656.0	32	12	4	[225,225]:2,[250,255]:4,[489,491]:4,[519,519]:2	0.3153444339713716	1.6728902009426898	0.04717445660451294	0.3141103102491137
SERPINA10		445.0	62	29	6	[28,36]:5,[121,125]:3,[171,181]:5,[191,196]:7,[280,284]:6,[290,294]:3	0.31532346077717494	1.6727262225181052	0.04719060228697239	0.3141103102491137
TASP1		421.0	31	12	3	[53,55]:3,[198,200]:3,[205,209]:6	0.31509064089717187	1.6709059257727956	0.047370130439707385	0.31506560092735386
ZIK1		488.0	47	21	5	[50,56]:4,[61,68]:7,[78,81]:4,[266,266]:2,[305,310]:4	0.31504418997265066	1.6705427503140613	0.047406014300870984	0.31506560092735386
KCNMB3		280.0	27	17	2	[1,8]:6,[12,23]:11	0.315011559298233	1.6702876281550818	0.047431234885330305	0.31506560092735386
EPHA5		1039.0	211	109	20	[67,72]:5,[131,137]:9,[228,233]:3,[277,279]:5,[326,329]:4,[339,350]:10,[355,362]:5,[388,388]:2,[454,455]:3,[469,476]:6,[610,644]:15,[711,718]:4,[811,826]:8,[826,832]:4,[875,879]:3,[927,945]:7,[959,968]:6,[986,986]:3,[993,997]:3,[1012,1015]:4	0.31498159632600825	1.6700533633628323	0.04745440304237822	0.31506560092735386
ZNF835		538.0	118	62	12	[85,92]:6,[98,105]:6,[116,119]:3,[200,219]:10,[235,235]:2,[242,246]:3,[309,319]:6,[335,335]:2,[441,448]:5,[458,458]:2,[484,509]:14,[532,536]:3	0.31496625647522963	1.6699334291010095	0.04746626772654541	0.31506560092735386
AIMP1		337.0	17	6	2	[17,20]:4,[171,171]:2	0.31491550368048205	1.6695366195712855	0.04750553966950625	0.31506560092735386
RASSF2		327.0	44	18	3	[63,68]:5,[150,157]:9,[194,194]:4	0.3149138847887657	1.6695239623045512	0.04750679277800869	0.31506560092735386
C2		5271.0	80	51	7	[12,34]:10,[52,63]:9,[73,82]:5,[82,88]:4,[115,119]:7,[133,153]:13,[306,309]:3	0.31487647856338447	1.6692315026129008	0.04753575456633476	0.31506560092735386
TYROBP		114.0	11	7	1	[59,72]:7	0.3148572949848973	1.6690815162565675	0.04755061294720109	0.31506560092735386
NEUROD4		332.0	61	25	8	[27,33]:4,[85,88]:3,[95,99]:4,[108,108]:2,[122,130]:4,[138,138]:2,[161,162]:3,[222,226]:3	0.3148417214556122	1.6689597549848485	0.047562677949207356	0.31506560092735386
PAGE4		103.0	9	4	1	[86,92]:4	0.31468008391267116	1.6676959956644182	0.047688045368626704	0.31574433496950965
KIAA2022		1517.0	235	110	27	[79,82]:4,[88,88]:2,[192,193]:3,[211,214]:3,[254,254]:2,[262,262]:2,[339,352]:8,[399,402]:3,[419,423]:4,[513,522]:6,[533,536]:4,[628,629]:3,[748,753]:4,[774,786]:6,[809,809]:2,[849,851]:3,[1004,1008]:4,[1060,1064]:4,[1108,1111]:4,[1185,1185]:2,[1213,1217]:4,[1230,1245]:11,[1258,1271]:5,[1307,1317]:5,[1446,1449]:3,[1457,1469]:7,[1484,1484]:2	0.3146362146936923	1.6673530052096277	0.04772211631858821	0.3158182301736623
CYTH4		395.0	31	14	4	[1,1]:2,[47,56]:4,[57,63]:4,[297,304]:4	0.31460165615302554	1.6670828100738107	0.047748969871042775	0.31584431366234383
OR5H2		315.0	53	26	6	[19,29]:6,[51,61]:5,[62,70]:4,[126,127]:5,[148,155]:4,[309,309]:2	0.3145047488627022	1.666325142708077	0.047824335769281516	0.3161911120285591
OR51G1		322.0	71	35	7	[26,34]:6,[92,97]:4,[127,132]:4,[140,151]:8,[225,227]:4,[243,246]:5,[286,291]:4	0.3143285316304495	1.6649473924303395	0.0479616259418073	0.3166836684728123
COL22A1		1627.0	318	154	33	[20,24]:4,[76,81]:3,[106,107]:3,[113,117]:4,[156,167]:5,[174,179]:5,[214,216]:5,[226,227]:3,[250,251]:3,[304,323]:9,[363,363]:2,[383,393]:4,[523,523]:2,[529,534]:5,[550,555]:5,[558,562]:3,[637,640]:4,[717,727]:7,[732,734]:3,[836,840]:4,[894,895]:4,[959,960]:3,[982,982]:2,[993,1001]:5,[1247,1257]:8,[1274,1291]:11,[1466,1466]:3,[1473,1478]:4,[1489,1490]:3,[1513,1527]:9,[1543,1548]:5,[1592,1601]:9,[1613,1621]:5	0.31430454252359324	1.6647598341636969	0.04798034013527824	0.3166836684728123
SPANXN1		73.0	17	9	1	[33,42]:9	0.31425514179181413	1.6643735957064303	0.048018896656455236	0.3166836684728123
PORCN		462.0	42	20	5	[37,38]:3,[164,168]:6,[179,184]:4,[220,232]:5,[241,241]:2	0.3142016824152188	1.6639556248303113	0.048060648821628166	0.3166836684728123
MACROD2		449.0	59	30	6	[18,18]:2,[25,33]:6,[87,97]:6,[177,188]:8,[193,199]:4,[203,207]:4	0.3141795849860125	1.6637828566007968	0.048077915560224234	0.3166836684728123
SCN5A		2017.0	246	105	26	[219,219]:4,[281,284]:4,[336,348]:6,[367,372]:3,[384,393]:9,[689,691]:4,[780,780]:2,[789,790]:3,[821,823]:3,[867,873]:5,[971,971]:2,[986,998]:6,[1068,1069]:4,[1077,1083]:5,[1092,1092]:2,[1116,1121]:5,[1139,1141]:5,[1262,1265]:5,[1278,1278]:2,[1286,1286]:5,[1352,1352]:2,[1482,1482]:2,[1620,1628]:6,[1721,1729]:5,[1759,1766]:4,[1808,1808]:2	0.31408681932335875	1.6630575704533987	0.04815045601224685	0.3166836684728123
CDH6		791.0	138	56	15	[229,229]:2,[247,247]:3,[258,263]:3,[334,334]:2,[345,366]:10,[500,500]:2,[507,507]:2,[524,528]:7,[587,587]:2,[638,640]:4,[661,662]:4,[691,691]:2,[722,722]:5,[741,741]:2,[769,775]:6	0.3140698396894115	1.662924815585514	0.0481637431428516	0.3166836684728123
ZIC5		664.0	26	10	3	[547,550]:4,[650,651]:3,[657,661]:3	0.31400947328215795	1.662452842252961	0.04821100563000619	0.3166836684728123
ADGRL3		1538.0	243	117	24	[150,151]:3,[223,238]:10,[254,254]:2,[328,333]:5,[380,385]:5,[392,402]:6,[417,417]:2,[459,469]:6,[494,505]:8,[626,629]:4,[736,741]:4,[766,780]:5,[814,818]:3,[821,832]:14,[838,838]:2,[867,871]:7,[903,907]:4,[930,936]:5,[976,978]:3,[998,1007]:4,[1131,1139]:6,[1158,1158]:2,[1163,1169]:5,[1175,1175]:2	0.31400646610858796	1.6624293307372693	0.04821336099714843	0.3166836684728123
FAM124B		456.0	32	13	2	[47,51]:4,[84,90]:9	0.3140045324936853	1.6624142128147195	0.04821487554865064	0.3166836684728123
SLIT2		1530.0	230	106	23	[44,57]:8,[71,75]:3,[266,274]:8,[377,377]:4,[392,392]:2,[434,437]:3,[466,471]:3,[481,489]:6,[496,509]:11,[629,631]:3,[709,711]:3,[802,812]:6,[838,838]:3,[1038,1041]:4,[1093,1096]:4,[1099,1100]:4,[1208,1212]:4,[1245,1254]:4,[1293,1302]:6,[1334,1334]:2,[1450,1460]:6,[1475,1478]:3,[1495,1501]:6	0.31399878872677994	1.662369305308524	0.04821937472003615	0.3166836684728123
KCTD8		474.0	90	54	10	[28,43]:6,[120,134]:8,[234,242]:4,[282,282]:2,[297,321]:10,[332,337]:5,[345,362]:8,[404,409]:6,[411,414]:3,[445,445]:2	0.31399034159901046	1.6623032616391182	0.048225992081289866	0.3166836684728123
HSD3B2		373.0	47	27	5	[72,83]:8,[142,154]:6,[215,218]:3,[237,249]:5,[337,346]:5	0.31394311471121245	1.6619340193297902	0.04826300234910497	0.3166836684728123
ZSCAN23		390.0	22	10	3	[278,281]:3,[301,307]:4,[332,336]:3	0.31388025080198706	1.6614425193369249	0.048312302121158314	0.3166836684728123
CACNG8		426.0	30	13	3	[69,80]:6,[217,217]:2,[231,233]:5	0.31383935006870306	1.6611227379175861	0.04834439933358376	0.3166836684728123
LDLRAD1		206.0	15	6	2	[99,102]:3,[155,158]:3	0.31380847500909254	1.6608813419916046	0.04836864010572222	0.3166836684728123
DUSP15		296.0	15	5	2	[3,4]:3,[236,236]:2	0.3138075708292085	1.6608742726824888	0.048369350146182655	0.3166836684728123
TDRD5		1036.0	118	62	11	[26,32]:4,[85,94]:6,[192,198]:6,[204,206]:3,[273,276]:5,[289,298]:10,[313,313]:2,[332,349]:8,[363,380]:7,[416,424]:6,[480,485]:5	0.3137926786156201	1.6607578382614887	0.04838104600330949	0.3166836684728123
ZBED9		2652.0	176	75	21	[29,41]:7,[74,75]:5,[259,266]:4,[414,414]:2,[441,447]:5,[482,485]:3,[492,500]:4,[541,549]:4,[563,570]:4,[586,594]:4,[607,609]:4,[749,752]:4,[827,829]:4,[884,884]:2,[991,991]:2,[1008,1008]:2,[1031,1031]:2,[1045,1050]:5,[1060,1064]:3,[1075,1077]:3,[1146,1146]:2	0.3137833609879531	1.6606849886091481	0.048388364913391775	0.3166836684728123
